"Grupo Estadistico2 (ALAMBRON, NEGROS ANTAAC), Direccion (VENTAS MEXICO) Periodo(Mes: Ene 2001/Ene 2021)",,,,,
Ene 2021 Grupo Estadistico3,Grupo Estadistico2,Est Toneladas Netas,Mes Año,Est Precio Destino MN/Ton,Est Precio ExWorks MN/Ton
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,184.61,sep-06,"9,855.51","9,855.51"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,945.52,sep-06,"9,202.76","9,202.76"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,648.54",sep-05,"7,055.24","7,055.24"
ALAMBRON CONSTRUCCION,ALAMBRON,"5,985.10",sep-05,"6,076.09","5,871.27"
ALAMBRON EXCEDENTES,ALAMBRON,"4,340.57",sep-05,"4,737.94","4,617.33"
ALAMBRON TREFILADO,ALAMBRON,"8,802.59",sep-05,"5,916.24","5,814.65"
ALAMBRONES ESPECIALES,ALAMBRON,"1,515.57",sep-05,"6,736.59","6,551.07"
ARMADURA,NEGROS ANTAAC,"1,107.24",sep-05,"9,211.87","9,211.87"
CASTILLO DOB.,NEGROS ANTAAC,"1,093.56",sep-05,"7,616.27","6,953.09"
CASTILLO HOJAS,NEGROS ANTAAC,"13,103.52",sep-05,"6,505.32","6,318.09"
CLAVO 2-5,NEGROS ANTAAC,"3,168.74",sep-05,"8,391.45","8,391.45"
ESCALERILLA,NEGROS ANTAAC,80.91,sep-05,"14,408.54","14,408.54"
ESTRIBOS,NEGROS ANTAAC,380.29,sep-05,"6,887.06","6,887.06"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"4,185.03",sep-05,"6,958.13","6,580.29"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"4,069.57",sep-05,"7,704.41","7,309.26"
REMESH,NEGROS ANTAAC,-9.56,sep-05,"5,918.81","6,546.21"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,250.36,sep-05,"7,784.85","7,784.85"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,886.08,sep-05,"7,150.35","7,150.35"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"3,466.24",sep-04,"9,014.78","9,014.78"
ALAMBRON CONSTRUCCION,ALAMBRON,"3,983.11",sep-04,"7,653.22","7,468.86"
ALAMBRON EXCEDENTES,ALAMBRON,"1,628.94",sep-04,"6,681.71","6,522.68"
ALAMBRON TREFILADO,ALAMBRON,"4,982.79",sep-04,"7,462.21","7,378.54"
ALAMBRONES ESPECIALES,ALAMBRON,"1,511.07",sep-04,"7,223.85","7,079.57"
ARMADURA,NEGROS ANTAAC,607.04,sep-04,"10,857.86","10,857.86"
CASTILLO DOB.,NEGROS ANTAAC,639.22,sep-04,"10,975.09","10,347.08"
CASTILLO HOJAS,NEGROS ANTAAC,"9,489.80",sep-04,"9,041.95","8,794.25"
CLAVO 2-5,NEGROS ANTAAC,"2,468.24",sep-04,"9,915.29","9,915.29"
ESCALERILLA,NEGROS ANTAAC,69.53,sep-04,"14,235.05","14,235.05"
ESTRIBOS,NEGROS ANTAAC,199.4,sep-04,"8,390.49","8,390.49"
MALLA SOLDADA 44 Y 66,NEGROS ANTAAC,"2,545.17",sep-04,"8,977.69","8,654.09"
MALLA SOLDADA 88 Y 1010,NEGROS ANTAAC,"2,840.20",sep-04,"10,424.13","10,031.43"
VARILLA 6000 3/16 5/32,NEGROS ANTAAC,66.57,sep-04,"8,633.37","8,633.37"
VARILLA 6000 5/16 1/4,NEGROS ANTAAC,587.8,sep-04,"8,013.78","8,013.78"
ALAMBRE RECOCIDO,NEGROS ANTAAC,"4,176.12",sep-03,"4,847.59","4,847.59"
ALAMBRON CONSTRUCCION,ALAMBRON,"4,832.08",sep-03,"4,140.33","3,953.72"
ALAMBRON EXCEDENTES,ALAMBRON,"1,801.46",sep-03,"3,139.79","2,991.04"
ALAMBRON TREFILADO,ALAMBRON,"8,818.65",sep-03,"3,955.36","3,866.94"
ALAMBRONES ESPECIALES,ALAMBRON,846.07,sep-03,"3,856.21","3,731.56"
ARMADURA,NEGROS ANTAAC,462.51,sep-03,"7,708.49","7,708.49"
CASTILLO DOB.,NEGROS ANTAAC,645.92,sep-03,"5,939.17","5,420.95"
CASTILLO HOJAS,NEGROS ANTAAC,"6,338.16",sep-03,"5,101.73","4,848.97"
